"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10uF, 50V","","","","",""
"C2,C4,C9,C10,C11,C12,C13,C14,C15,C20,C23,C25,C26,C27,C32,C37,C39,C41,C42,C43","20","0.1uF","","","","",""
"C3,C29,C33,C34","4","22uF, 25V","","","","",""
"C5,C7,C22,C38,C40","5","1uF","","","","",""
"C6,C21","2","4.7nF C0G","","","","",""
"C8,C24","2","10uF","","","","",""
"C16,C17,C18","3","0.1uF","","","","Package_SO:TSSOP-14_4.4x5mm_P0.65mm",""
"C19,C28","2","0.01uF","","","","Package_SO:TSSOP-14_4.4x5mm_P0.65mm",""
"C30,C35","2","4.7uF, 50V","","","","",""
"C31,C36","2","0.1uF, 50V","","","","",""
"D1","1","","","","","Package_TO_SOT_SMD:SOT-23-6",""
"D2","1","TLHR-6400","","","","LED_SMD:LED_Cree-XHP50_3V_HighDensity",""
"D3","1","TLHY-6400","","","","LED_SMD:LED_Cree-XHP50_3V_HighDensity",""
"F1","1","1A SLOW-BLOW","","","","",""
"J1","1","12-24V POWER IN","","","","",""
"J2","1","217179-0001","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3","1","DIGITAL_IO_3V3","","","","",""
"J4","1","ANALOG VOLTAGE INPUTS","","","","",""
"J5","1","DIFFERENTIAL VOLTAGE INPUT","","","","Package_DFN_QFN:Diodes_UDFN-10_1x2.5mm_P0.5mm",""
"J6","1","CURRENT INPUTS","","","","",""
"J7","1","K-TYPE THERMOCOUPLE","","","","",""
"L1","1","6.8uH","","","","Package_TO_SOT_SMD:SOT-23-6",""
"L2","1","5.6uH","","","","Package_TO_SOT_SMD:SOT-23-6",""
"R1,R7","2","10k","","","","",""
"R2,R34","2","LED_R_TBD","","","","",""
"R3,R4","2","5.1k","","","","",""
"R5,R6","2","22R","","","","",""
"R8","1","20k","","","","",""
"R9,R10,R11,R12,R13,R14,R15,R16","8","100R","","","","",""
"R17,R18,R19,R20,R21,R22,R26,R27,R28,R32,R33","11","1k","","","","",""
"R23,R24,R25","3","RSHUNT","","","","",""
"R35,R37","2","100k","","","","",""
"R36","1","13.7k","","","","",""
"R38","1","22.1k","","","","",""
"U1","1","LMR51430 - 5V REG","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/ds/symlink/lmr51430.pdf"
"U2","1","LMR51430 - 3.3V REG","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/ds/symlink/lmr51430.pdf"
"U3","1","ESP32-S3-WROOM-1-N16R8","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U4,U5,U7,U8,U9","5","D3V3XA4B10LP","","","","Package_DFN_QFN:Diodes_UDFN-10_1x2.5mm_P0.5mm","https://www.diodes.com/assets/Datasheets/D3V3XA4B10LP.pdf"
"U6,U10,U16","3","INA181","","","","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/ina181.pdf"
"U11","1","MAX31856","","","","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","https://datasheets.maximintegrated.com/en/ds/MAX31856.pdf"
"U12,U15","2","REF3333","","","","",""
"U13,U14","2","","","","","Package_QFP:TQFP-64_10x10mm_P0.5mm",""
